Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
AZ-10,"Site 26-5, Te Niu",Residential,Wood charcoal,26,0-500,"Wozniak, 1996",105 ± 40,2c,Wozniak 2003:302-4,105,40,
AZ-13,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",535 ± 50,2a,Wozniak 2003:302-4,535,50,
AZ-14,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",230 ± 60,2c,Wozniak 2003:302-4,230,60,
AZ-20,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Bone,26,0-500,"Wozniak, 1996",380 ± 45,3b,Wozniak 2003:302-4,380,45,
AZ-22,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Carbonized nutshell,26,0-500,"Wozniak, 1996",325 ± 40,2c,Wozniak 2003:302-4,325,40,
AZ-23,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",685 ± 50,2c,Wozniak 2003:302-4,685,50,
AZ-24,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",535 ± 40,2c,Wozniak 2003:302-4,535,40,
AZ-25,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",650 ± 40,2c,Wozniak 2003:302-4,650,40,
AZ-26,"26M250S firepit, Te Niu",Residential,Wood charcoal,26,0-500,"Wozniak, 1996",240 ± 40,2b,Wozniak 2003:302-4,240,40,
AZ-27,"Site 26F, Te Niu",Agricultural,Wood charcoal,26,0-500,"Wozniak, 1996",545 ± 40,2c,Wozniak 2003:302-4,545,40,
AZ-28,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Carbonized nutshell,26,0-500,"Wozniak, 1996",555 ± 40,1a,Wozniak 2003:302-4,555,40,
B-95878,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",700 ± 90,2b,Wozniak 2003:302-4,700,90,
B-95879,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",230 ± 90,2c,Wozniak 2003:302-4,230,90,
B-95880,"Site 26-50, Te Niu",Residential,Wood charcoal,26,0-500,"Wozniak, 1996",550 ± 110,2c,Wozniak 2003:302-4,550,110,
B-106319,"Site 26-1, Ahu Te Niu (Ahu Ohau)",Ceremonial,Wood charcoal,26,0-500,"Wozniak, 1996",570 ± 50,2a,Wozniak 2003:302-4,570,50,
B-106320,"Site 26-6, Te Niu",Residential,Wood charcoal,26,0-500,"Wozniak, 1996",90 ± 60,2c,Wozniak 2003:302-4,90,60,
Wk-27379,"ST 39, near Feature SH-3-274a",Residential,Wood charcoal - identified,30,0-500,"Mulrooney et al., 2008",113 ± 30,1c,Mulrooney 2012,113,30,
"
Beta-46110","
Site 21-568a, Hare Aio",Residential,Wood charcoal,31,500-1000,"Vargas Casanova et al., 1992",430 ± 70,2c,"Vargas Casanova et al., 2006:217-9",430,70,
Beta-47279,"Site 21-568a, Hare Aio",Residential,Wood charcoal,31,500-1000,"Vargas Casanova et al., 1992",320 ± 70,2c,Wozniak 2003:302-4,320,70,
